disease_id,symptom_id,source,url,tier,probability
DIS_0003,SX_5a9f8fa2af,mayoclinic,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688/,1,0.4
DIS_0003,SX_87a429872c,mayoclinic,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688/,1,0.15
DIS_0003,SX_17436dd00c,mayoclinic,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688/,1,0.15
DIS_0005,SX_e3e6ed78ca,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850/,1,0.05
DIS_0005,SX_94b2b09c91,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850/,1,0.15
DIS_0005,SX_27a0380f35,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850/,1,0.15
DIS_0005,SX_87a429872c,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850/,1,0.4
DIS_0005,SX_49ea6d26c6,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850/,1,0.4
DIS_0005,SX_084f5a8a34,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850/,1,0.7
DIS_0005,SX_7ed7266d85,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850/,1,0.7
DIS_0007,SX_983737ad87,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234/,1,0.4
DIS_0007,SX_87a429872c,mayoclinic,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234/,1,0.15
DIS_0001,SX_87a429872c,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738/,1,0.15
DIS_0927,SX_450e166c06,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047/,1,0.4
DIS_0008,SX_447f6a81cb,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127/,1,0.05
DIS_0008,SX_87027ae853,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127/,1,0.15
DIS_0008,SX_6e0d7bee27,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127/,1,0.15
DIS_0008,SX_87a429872c,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127/,1,0.4
DIS_0008,SX_891f3b3c56,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127/,1,0.7
DIS_0008,SX_0171fbf1a4,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127/,1,0.7
DIS_0009,SX_41d1de28e9,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222/,1,0.4
DIS_0009,SX_450e166c06,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222/,1,0.4
DIS_0011,SX_27a0380f35,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.05
DIS_0011,SX_87a429872c,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.05
DIS_0011,SX_072ff6bd71,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.15
DIS_0011,SX_7ed7266d85,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.15
DIS_0011,SX_2a8ca4f282,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.15
DIS_0011,SX_171de3b8a3,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.4
DIS_0011,SX_02802ea3af,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.4
DIS_0011,SX_3ae8308c20,mayoclinic,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136/,1,0.4
